Region,Gender,Handed,Favourite_physical_activity,Importance_reducing_pollution,Birth_month,Beverage,Favorite_School_Subject,Sleep_Hours_Non_Schoolnight,Paid_Work_Hours,Work_At_Home_Hours,Planned_Education_Level
CA,Male,Right-Handed,Running/Jogging,1000,April,Water,Computers and technology,11,0,10,Undergraduate degree
CA,Male,Right-Handed,Walking/Hiking,1000,May,Water,Science,12,0,7,Graduate degree
CA,Male,Right-Handed,Soccer,1000,June,Water,Mathematics and statistics,10,0,6,Some college
CA,Male,Right-Handed,Swimming,1000,June,Water,Physical education,8,0,7,Other
CA,Male,Right-Handed,Basketball,900,July,Water,English,9,0,4,Graduate degree
CA,Male,Right-Handed,Swimming,0,August,Water,Mathematics and statistics,8,0,3,Graduate degree
CA,Female,Right-Handed,Martial Arts,989,August,Water,Art,9,0,3,Graduate degree
CA,Female,Right-Handed,Tennis,650,June,Water,History,11,17,7,Graduate degree
CA,Male,Right-Handed,Athletics,1000,December,Water,Art,8,0,2,Some college
CA,Male,Right-Handed,Soccer,91,September,Water,History,7,14,10,Graduate degree
CA,Male,Right-Handed,Soccer,500,October,Water,Mathematics and statistics,3,0,1,Graduate degree
CA,Female,Right-Handed,Basketball,1000,February,Soft drink (caffeinated),Mathematics and statistics,9,0,1,Graduate degree
CA,Male,Right-Handed,Football (American),797,March,Milk,Mathematics and statistics,9,1,0,Undergraduate degree
CA,Male,Right-Handed,Soccer,900,February,Water,History,9,0,5,Graduate degree
CA,Female,Right-Handed,Dancing,1000,October,Powdered drink,Art,9,0,10,High school
CA,Male,Right-Handed,Soccer,800,May,Water,Other,8,0,0,Some college
CA,Male,Right-Handed,Soccer,1000,August,Water,English,9,1,5,Graduate degree
CA,Male,Right-Handed,Skateboarding/Rollerblading,770,November,Tea,Science,7,0,14,Some college
CA,Female,Right-Handed,Lacrosse,700,June,Water,Music,10,0,6,Graduate degree
CA,Male,Right-Handed,Bowling,1000,November,Water,Computers and technology,9,0,7,Graduate degree
CA,Male,Right-Handed,Skateboarding/Rollerblading,588,February,Tea,Mathematics and statistics,9,14,5,Graduate degree
CA,Female,Left-Handed,Dancing,812,November,Soft drink (caffeinated),Art,9,0,1,Some college
CA,Male,Right-Handed,Martial Arts,500,December,Water,Computers and technology,8,0,5,Graduate degree
CA,Female,Right-Handed,Soccer,1000,October,Sports drink,Languages,12,0,2,Graduate degree
CA,Male,Right-Handed,Tennis,492,May,Water,Mathematics and statistics,8,0,5,Other
CA,Male,Right-Handed,Tennis,1000,January,Water,Science,8,30,3,Graduate degree
CA,Male,Right-Handed,Baseball/Softball,567,November,Water,History,8,10,1,Some college
CA,Female,Right-Handed,Dancing,1000,May,Water,Other,9,0,0,Graduate degree
CA,Male,Right-Handed,Tennis,800,April,Water,English,9,0,4,Graduate degree
CA,Female,Right-Handed,Swimming,400,May,Water,Science,8,0,2,Undergraduate degree
CA,Male,Right-Handed,Soccer,1000,February,Water,Mathematics and statistics,6,0,0,Graduate degree
CA,Female,Right-Handed,Basketball,480,October,Water,Mathematics and statistics,10,0,2,Undergraduate degree
CA,Male,Right-Handed,Gymnastics,400,November,Water,Mathematics and statistics,12,0,24,Graduate degree
CA,Female,Right-Handed,Swimming,1000,May,Coffee,Science,12,6,2,Graduate degree
CA,Male,Right-Handed,Basketball,700,September,Water,History,4,0,3,Graduate degree
CA,Male,Right-Handed,Other,1000,February,Water,Mathematics and statistics,8,20,0,Graduate degree
CA,Male,Right-Handed,Baseball/Softball,1000,June,Water,Mathematics and statistics,7,0,2,Graduate degree
CA,Female,Right-Handed,Other,999,January,Tea,Science,9,6,7,Graduate degree
CA,Female,Right-Handed,Walking/Hiking,1000,February,Water,Mathematics and statistics,7,0,2,Graduate degree
CA,Female,Right-Handed,Running/Jogging,600,March,Water,Science,9,5,3,Graduate degree
CA,Female,Right-Handed,Other,775,October,Water,Science,10,0,2,Graduate degree
CA,Male,Right-Handed,Football (American),900,November,Water,History,10,0,2,Graduate degree
CA,Female,Right-Handed,Walking/Hiking,450,October,Water,English,5,14,0,Undergraduate degree
CA,Male,Right-Handed,Other,700,October,Water,Physical education,11,0,2,Graduate degree
CA,Female,Right-Handed,Football (American),743,May,Water,Computers and technology,9,0,1,Graduate degree
CA,Female,Right-Handed,Other,545,August,Tea,Art,5,0,2,Graduate degree
CA,Male,Right-Handed,Other,679,October,Water,Mathematics and statistics,6,16,2,Graduate degree
CA,Male,Ambidextrous,Basketball,800,December,Water,Music,8,0,8,Graduate degree
CA,Male,Left-Handed,Tennis,500,March,Water,Mathematics and statistics,8,0,1,Undergraduate degree
CA,Male,Left-Handed,Baseball/Softball,701,July,Water,English,8,0,1,Undergraduate degree
CA,Female,Right-Handed,Swimming,1000,February,Water,Art,8,0,1,Graduate degree
CA,Male,Right-Handed,Other,600,August,Water,Other,7,0,3,Other
CA,Male,Left-Handed,Basketball,733,April,Water,History,8,0,3,Graduate degree
CA,Female,Right-Handed,Martial Arts,1000,June,Water,English,8,12,1,Graduate degree
CA,Male,Right-Handed,Football (American),1000,September,Other,English,8,3,10,Graduate degree
CA,Female,Right-Handed,Other,850,March,Water,English,10,0,3,Graduate degree
CA,Female,Right-Handed,Other,251,July,Milk,History,9,0,2,Graduate degree
CA,Male,Right-Handed,Football (American),818,May,Water,Mathematics and statistics,8,40,6,Graduate degree
CA,Female,Right-Handed,Swimming,70,April,Juice,Art,9,54,54,Other
CA,Female,Right-Handed,Basketball,700,September,Soft drink (non-caffeinated),Science,10,0,1,Graduate degree
CA,Female,Right-Handed,Other,900,November,Water,History,8,17,1,Graduate degree
CA,Male,Right-Handed,Soccer,999,June,Water,English,14,0,10,Graduate degree
CA,Female,Right-Handed,Athletics,412,August,Juice,History,11,0,1,Graduate degree
CA,Male,Right-Handed,Running/Jogging,300,April,Water,History,8,0,1,Graduate degree
CA,Female,Right-Handed,Swimming,1000,November,Water,Art,11,0,1,Graduate degree
CA,Male,Right-Handed,Tennis,1000,December,Juice,Physical education,14,0,2,Graduate degree
CA,Male,Right-Handed,Tennis,840,August,Water,Music,9,2,2,Undergraduate degree
CA,Female,Right-Handed,Running/Jogging,754,May,Water,History,8,3,3,Less than high school
CA,Female,Left-Handed,Walking/Hiking,500,August,Water,Science,10,15,1,Graduate degree
CA,Male,Right-Handed,Football (American),1000,August,Water,History,11,0,4,Graduate degree
