Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,CA,2017,"11        ",Male,16,Right-Handed,174,26,170,2,Bus,15,0.243,25,Running/Jogging,1000,1000,1000,1000,1000,1000,26,"Same length",70,82,"Ring finger",April,Summer,No,No,"No favorite",Water,"Computers and technology",8.5,11,3,"Yes - broadband connection","Internet chat or instant messaging",10,20,20,1,8,10,15,20,28,20,60,6,0,10,"A lot","Undergraduate degree",Pop,"Freeze time",Rich,"Community leader or elder",Other
USA,CA,2014,"5         ",Male,10,Right-Handed,146,23,140,2,Car,15,.613,57,Walking/Hiking,1000,503,503,1000,102,150,25,"Left foot",80,80,"Same length",May,Summer,Yes,No,Poultry,Water,Science,10,12,3,"Yes - broadband connection","In person",0,0,6,1,14,24,6,14,0,0,14,7,0,7,"Very little","Graduate degree",Classical,Invisibility,Happy,Other,Other
USA,CA,2017,"12        ",Male,17,Right-Handed,180,25,81,1,Bus,30,0.29,35,Soccer,1000,1000,1000,1000,503,503,26,"Left foot",8,8,"Same length",June,Winter,No,No,Meat,Water,"Mathematics and statistics",7,10,3,"Yes - broadband connection","Cell phone",10,30,8,30,12,10,16,30,0,1,4,1,0,6,"Very little","Some college",Techno/Electronic,Fly,Happy,Relative,"Wildlife, animals"
USA,CA,2023,"9         ",Male,14,Right-Handed,173,31,174,2,Car,8,0.42,47,Swimming,1000,578,663,722,535,540,31,"Same length",70,80,"Ring finger",June,Winter,No,No,"Rice/Noodle dishes",Water,"Physical education",9,8-7,3,"Yes - other","Internet chat or instant messaging",40,70,7,0,1,2,2,1,3,1,100,0,0,7,"A lot",Other,"Rap/Hip hop","Freeze time",Healthy,"Sports person",Health
USA,CA,2013,"12        ",Male,17,Right-Handed,160,23.5,58,2,Walk,15,0.365,48,Basketball,900,800,1000,800,500,500,23.5,"Same length",7.5,8.5,"Ring finger",July,Winter,No,No,Meat,Water,English,7,9,4,"Yes - dial-up connection","Text messaging",100,120,40,5,30,10,10,5,10,35,20,10,0,4,Some,"Graduate degree",Pop,"Super strength",Happy,"Religious figure",Religious
USA,CA,2022,"7         ",Male,11,Right-Handed,167.5,29,174,2,Car,5,0.321,42,Swimming,0,1000,1000,1000,16,11,29,"Same length",100,107,"Ring finger",August,Spring,No,No,"No favorite",Water,"Mathematics and statistics",8-9,8-9,4,"Yes - dial-up connection","In person",4,6,2-3,0,3-4,2-3,9,3,0,0.5,2,2,0,3,Some,"Graduate degree",Classical,Telepathy,Healthy,Relative,"Wildlife, animals"
USA,CA,2022,"12        ",Female,18,Right-Handed,163,22,161,2,Car,7,0.301,35,"Martial Arts",989,610,765,588,439,754,22,"Left foot",79,77,"Index finger",August,Fall,No,No,"Rice/Noodle dishes",Water,Art,6,9,6,"Yes - broadband connection","In person",15,41,10,2,30,15,2,4,6,2,40,1,0,3,"A lot","Graduate degree",Jazz,"Freeze time",Rich,"Community leader or elder",Environment
USA,CA,2014,"12        ",Male,17,Right-Handed,184,26.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,15,,,,,,,,,,,,,Some,"Graduate degree","Rock and roll",Fly,Happy,Relative,"Arts, culture, sports"
USA,CA,2013,"12        ",Female,17,Right-Handed,66,24,54,2,Car,7,.868,44,Tennis,650,750,600,600,700,700,24,"Same length",7.5,7.8,"Ring finger",June,Winter,No,No,Poultry,Water,History,5,11,5,"Yes - broadband connection","Text messaging",195,237,10,12,7,7,0,0,4,18,36,12,17,7,"A lot","Graduate degree",Pop,"Freeze time",Happy,Friend,"International aid"
USA,CA,2021,"12        ",Male,17,Right-Handed,70,25,167,1,Bus,60,.417,46,Athletics,1000,600,950,650,450,750,25,"Same length",90,80,"Index finger",December,Winter,No,No,Desserts,Water,Art,5,8,4,"Yes - broadband connection","Internet chat or instant messaging",3,4,10,2,15,10,5,2,2,5,30,15,0,2,"A lot","Some college",Pop,Telepathy,Rich,Relative,Health
