Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,FL,2018,"12        ",Male,17,Right-Handed,178,175,160,1,Bus,15,.527,47,Athletics,743,802,610,872,947,984,20,"Left foot",80,70.5,"Index finger",August,Winter,No,No,Seafood,Water,Science,5,8,3,"Yes - other","Myspace, Facebook, other social networking sites, or blog",4,3,5,0,2,2,2,1,1,0,6,0,0,1,"A lot","Graduate degree","Rap/Hip hop",Fly,Rich,"Coach or club leader","Arts, culture, sports"
USA,FL,2023,"12        ",Male,18,Right-Handed,182,25.4,183,2,Car,20,.705,38,Lacrosse,200,100,300,400,100,100,25.4,"Same length",80,70,"Ring finger",May,Summer,Yes,No,Meat,Water,English,7,12,5,"Yes - other","In person",5,5,7,1,2,8,12,1,4,1,1,1,3,0,Some,"Undergraduate degree","Rap/Hip hop","Freeze time",Happy,"Sports person",Other
USA,FL,2022,"12        ",Male,15,Right-Handed,174,26,178,1,Bus,40,0.72,49,Basketball,200,600,800,900,1000,1000,27,"Right foot",80,90,"Ring finger",February,Winter,No,No,Poultry,Water,Music,9,10,4,"Yes - broadband connection","Text messaging",1,10,8,0,3,4,4,13,2,0,5,5,0,2,"Very little","Graduate degree",Jazz,"Super strength",Happy,Actor,Religious
USA,FL,2023,"12        ",Male,17,Left-Handed,185,28,190,1,Car,15,.341,52,Other,5,5,5,5,5,5,28,"Right foot",9,10,"Ring finger",September,Spring,,No,Meat,Water,Other,7,7,4,"Yes - broadband connection","Cell phone",30,50,7,5,2,1,5,5,5,5,5,5,5,5,Some,"Undergraduate degree",Country,Invisibility,Happy,"Business person","Wildlife, animals"
USA,FL,2018,"12        ",Male,17,Right-Handed,186,27,152,2,Car,35,0.693,48,Other,850,900,800,950,600,700,28,"Left foot",8,7.5,"Index finger",April,Winter,No,No,"Rice/Noodle dishes",Water,Science,8,8,4,"Yes - broadband connection","In person",4,50,6,0.5,2,1,1.5,6,2,2,10,1,2,0.5,"Very little","Graduate degree",Pop,"Freeze time",Rich,Actor,Environment
USA,FL,2015,"6         ",Female,11,Right-Handed,147,22,,2,Car,20,386,41,Basketball,476,476,476,476,476,476,20,"Right foot",81,67,"Ring finger",December,Spring,No,No,"No favorite",Water,Art,7,9,6,"Yes - broadband connection","Text messaging",20,21,6,.03,10,63,7,3,3,1,1,3,0,1,Some,"Graduate degree",Pop,"Freeze time",Happy,Friend,"Education/Youth development"
USA,FL,2013,"12        ",Female,17,Right-Handed,173,24,180,1,Car,2,.152,50,Swimming,0,0,300,200,600,800,25,"Left foot",80,70,"Index finger",February,Summer,No,No,Pizza/Pasta,Water,History,8,9,6,"Yes - broadband connection","Text messaging",100,100,5,1,3,2,23,0,3,2,1,2,0,0,"Very little","Undergraduate degree","Rap/Hip hop",Telepathy,Happy,Relative,Health
USA,FL,2012,"12        ",Male,17,Right-Handed,179,28.5,182,2,Car,20,.29,43,"Football (American)",900,750,200,1000,50,100,59,"Same length",9,7,"Index finger",June,Summer,No,No,Poultry,"Soft drink (caffeinated)","Mathematics and statistics",5,13,5,"Yes - broadband connection","Text messaging",300,80,64,2,12,4,12,0,2,2,10,7,0,12,Some,"Graduate degree",Techno/Electronic,"Freeze time",Happy,"Doctor or nurse",Health
USA,FL,2021,"12        ",Female,17,Right-Handed,170.2,24,176.5,2,Car,12,0.444,34,Other,1000,909,900,900,1000,1000,24,"Same length",8,8.5,"Ring finger",February,Spring,No,Yes,"Rice/Noodle dishes",Tea,Art,6,8,3-8,"Yes - other","In person",75,75,25,5,20,5,5,0,25,12,100,5,20,6-7,Some,"Graduate degree","Rhythm and blues (R&B)",Fly,Happy,Friend,Environment
USA,FL,2018,"12        ",Male,17,Right-Handed,193.0,"26 ",193.0,2,Car,20,0.748,41,Basketball,965,975,950,950,200,975,30,"Left foot",80,80,"Same length",July,Winter,No,No,Meat,Water,History,6,10,3,"Yes - other","Internet chat or instant messaging",3,4," 52",2,10,7,7,0,21,14,28,21,0,7,Some,Other,"Rap/Hip hop",Invisibility,Rich,"Sports person","Education/Youth development"
USA,FL,2023,"11        ",Female,16,Right-Handed,165.1,24,160,1,Car,10,0.457,36,Baseball/Softball,321,631,128,86,155,668,24,"Same length",101.6,76.2,"Index finger",March,Summer,No,No,Meat,Water,"Mathematics and statistics",10,10,4,"Yes - other","Cell phone",20,419,4,2,1,1,4,0,5,2,3,1,8,0,Some,"Some college","Rap/Hip hop",Telepathy,Rich,Friend,"Wildlife, animals"
USA,FL,2018,"12        ",Female,17,Right-Handed,630,25.5,147,1,Car,10,0.54,44,Other,797,652,348,337,797,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,FL,2016,"11        ",Female,17,Right-Handed,173,28,167,2,Bus,20,.416,36,Other,650,500,500,650,800,850,29,"Left foot",75,80,"Ring finger",January,Winter,Yes,No,Meat,Water,Languages,9,12,5,"Yes - broadband connection","In person",3,6,40,0,10,20,3,50,6,50,160,4,0,2,"A lot","Graduate degree","Heavy metal","Freeze time",Happy,Actor,"Wildlife, animals"
USA,FL,2013,"12        ",Female,17,Right-Handed,157,23,162,2,Car,15,.706,30,Golf,900,400,800,650,700,900,25,"Left foot",76,72,"Index finger",February,Winter,No,No,Seafood,Water,"Mathematics and statistics",5,10,3,"Yes - dial-up connection","Myspace, Facebook, other social networking sites, or blog",60,80,20,1,15,4,6,5,21,21,21,3,0,0,"A lot","Graduate degree",Pop,"Freeze time",Rich,Friend,"International aid"
USA,FL,2011,"12        ",Female,17,Right-Handed,160,23,161,1,Car,25,.341,,None,200,900,450,,1000,1000,23,"Same length",90,90,"Same length",April,Fall,No,No,Breads/Sandwiches,"Soft drink (non-caffeinated)",Art,4,6,3,"Yes - other","Text messaging",125,120,10,14,0,48,0,42,32,126,74,42,0,3,None,"Graduate degree","Rhythm and blues (R&B)",Telepathy,Happy,Relative,Religious
USA,FL,2021,"12        ",Male,18,Right-Handed,171,22.5,177,1,Bus,45,0.377,34,Walking/Hiking,1000,1000,1000,1000,750,750,25.5,"Left foot",70,77.5,"Ring finger",March,Winter,Yes,No,Meat,Water,"Mathematics and statistics",6.5,8,2,"Yes - broadband connection","Internet chat or instant messaging",2,2,8,0,16,0,0,25,4,7,20,8,0,0,Some,"High school","Rock and roll","Freeze time",Happy,Teacher,Health
USA,FL,2017,"12        ",Male,17,Right-Handed,173,25,173,1,Bus,20,0.765,60,None,800,800,900,900,950,900,25,"Same length",76,83,"Ring finger",August,Fall,No,No,Meat,Tea,"Mathematics and statistics",4,12,4,"Yes - broadband connection","Internet chat or instant messaging",40,35,0,0,3,0,0,68,2,30,80,0,0,4,Some,"Undergraduate degree",Techno/Electronic,"Freeze time",Rich,Friend,Health
USA,FL,2021,"12        ",Male,17,Right-Handed,177,30,180,2,Car,24,.38,48,Lacrosse,500,500,100,300,200,1000,32,"Same length",80,90,"Ring finger",May,Winter,No,No,Poultry,Water,"Mathematics and statistics",7,7,3,"Yes - other","Text messaging",5,10,10,0,3,3,5,0,8,4,8,5,0,0,"Very little","Graduate degree","Rap/Hip hop",Telepathy,Rich,Relative,"Education/Youth development"
USA,FL,2014,"12        ",Female,17,Right-Handed,175,24,72,1,Car,30,.372,35,None,690,631,545,891,5,5,24,"Same length",120,80,"Index finger",April,Winter,No,No,Fruit,,Art,8,4,3,"Yes - broadband connection","Text messaging",20,20,20,1,20,2,0,5,2,3,25,0,3,2,"A lot","Graduate degree",Other,"Freeze time",Happy,Relative,"Arts, culture, sports"
