Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,NY,2013,"8         ",Female,13,Right-Handed,244,36,184,1,Bus,20,.405,48,Dancing,400,500,300,500,600,400,32,"Right foot",,,,August,Spring,No,No,Breads/Sandwiches,Water,Music,7,8,8,"Yes - broadband connection","In person",0,0,2,,,,,,,,,,,,,,,,,,
USA,NY,2016,"12        ",Female,18,Right-Handed,157,23,150,2,"Rail (Train/Tram/Subway)",25,0.337,41,Other,900,1000,950,950,500,1000,23,"Same length",89,90,"Ring finger",March,Fall,No,No,"Rice/Noodle dishes",Water,"Mathematics and statistics",6,6,6,"Yes - broadband connection","Internet chat or instant messaging",0,0,15,12,5,10,4,0,25,20,30,50,20,1,Some,"Undergraduate degree",Other,Telepathy,Happy,Actor,"International aid"
USA,NY,2024,"12        ",Male,18,Left-Handed,169,26,179,1,"Rail (Train/Tram/Subway)",75,0.729,45,Basketball,900,900,400,200,250,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2018,"5         ",Female,11,Right-Handed,150,25,135,3,"Rail (Train/Tram/Subway)",37,0.513,50,Dancing,781,1000,1000,690,1000,1000,25,"Same length",8,8,"Same length",February,Winter,Yes,No,Fruit,"Soft drink (non-caffeinated)",Music,8,9,4,"Yes - other","Cell phone",48,43,"5 ",4,30,3,1,1,2,1,1,5,1,2,"A lot","Graduate degree","Rap/Hip hop",Invisibility,Healthy,Relative,"Education/Youth development"
USA,NY,2018,"12        ",Male,17,Left-Handed,169,26,172,3,"Rail (Train/Tram/Subway)",30,0.378,36,Dancing,700,500,750,700,800,800,26,"Same length",99,98,"Index finger",November,Winter,Yes,No,Pizza/Pasta,Juice,Music,6,10,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",30,35,6,1,25,10,4,15,40,35,40,3,0,3,"A lot","Graduate degree",Pop,Fly,Famous,"Musician or singer",Other
USA,NY,2019,"10        ",Male,15,Ambidextrous,178,28,157,6,"Rail (Train/Tram/Subway)",45,.27,47,Soccer,1000,1000,1000,1000,1000,1000,28,"Same length",42,47,"Ring finger",September,Summer,No,No,Meat,Water,History,3,10,11,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",39,75,3,1,10,12,4,4,150,2,140,50,60,3,Some,"Graduate degree","Rap/Hip hop",Fly,Rich,"Sports person","Arts, culture, sports"
USA,NY,2019,"10        ",Male,16,Right-Handed,178,30,178,2,Car,30,.001,30,None,1000,1000,0,0,500,1000,30,"Same length",80,100,"Index finger",March,Spring,No,No,,Juice,Science,7,24,5,"Yes - broadband connection","Internet chat or instant messaging",4,4,2,1,10000,0,0,200,2,12,123,0,0,0,"A lot","Graduate degree",Pop,Invisibility,Happy,"Doctor or nurse",Health
USA,NY,2019,"12        ",Female,16,Right-Handed,155,22,154,1,Car,10,0.331,33,Other,500,400,300,300,900,1000,22,"Same length",75,70,"Ring finger",November,Fall,Yes,No,Breads/Sandwiches,Water,Science,10,12,4,"Yes - other","Myspace, Facebook, other social networking sites, or blog",16,12,3,0,2,10,10,0,10,7,8,0,0,2,Some,"Graduate degree","Rap/Hip hop",Fly,Happy,Relative,Health
USA,NY,2022,"12        ",Female,17,Right-Handed,157,9,70,1,Walk,5,02,0.4,Athletics,1000,1000,1000,1000,900,900,9,"Right foot",9,8,"Index finger",September,Fall,No,No,Meat,Water,Art,10,11,4,"Yes - broadband connection","In person",20,50,24,0,4,6,0,0,5,4,4,10,0,0,None,"Undergraduate degree",Country,Fly,Happy,Relative,"International aid"
USA,NY,2021,"12        ",Male,18,Right-Handed,191,31,183,2,Car,2,.348,47,Baseball/Softball,700,700,700,700,1000,1000,31,"Same length",152.4,152.4,"Same length",June,Winter,Yes,No,"No favorite",Water,History,7,9,3,"Yes - broadband connection","In person",3,15,4,.25,15,2,10,6,1,.25,12,2,0,0,Some,Other,Other,Fly,Happy,Politician,Environment
USA,NY,2020,"8         ",Female,14,Right-Handed,168,22,165,1,Car,5,0.474,40,Dancing,900,850,800,500,400,500,22,"Same length",60,67,"Ring finger",December,Fall,Yes,No,"No favorite",Water,Science,7,9,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",5,6,10,0,,,,,,,,,,,,,,,,,
USA,NY,2022,"10        ",Male,15,Right-Handed,174,26,172,2,Bus,50,0.709,36,Other,750,750,1000,900,1000,1000,26,"Same length",75,77,"Ring finger",June,Summer,Yes,No,Meat,Water,"Mathematics and statistics",7,8,4,"Yes - other","Cell phone",100,100,1,20,10,5,5,35,20,5,30,0,0,2,"A lot","Graduate degree",Other,Fly,Happy,Friend,Health
USA,NY,2017,"12        ",Female,17,Right-Handed,160,23.5,66,1,"Rail (Train/Tram/Subway)",15,0.359,35,Tennis,1000,1000,1000,1000,102,21,23.5,"Same length",66,70,"Ring finger",October,Winter,No,No,"Rice/Noodle dishes",Water,History,6,9,5,"Yes - broadband connection","Cell phone",1,5,17,3,15,3,9,5,10,7,15,3,0,0,"A lot","Graduate degree",Other,Invisibility,Happy,"Business person","Education/Youth development"
USA,NY,2019,"4         ",Male,15,Right-Handed,176,25,163,3,"Rail (Train/Tram/Subway)",40,.471,39,Soccer,695,1000,455,588,1000,1000,25,"Same length",.9,.9,"Same length",March,Spring,No,No,Fruit,"Soft drink (non-caffeinated)",History,7,9,4,"Yes - broadband connection","Internet chat or instant messaging",5,12,18,3,12,4,12,40,38,1,8,1,0,0,Some,"Graduate degree","Heavy metal",Telepathy,Rich,Politician,Health
USA,NY,2021,"11        ",Female,15,Right-Handed,155,24,157,2,"Rail (Train/Tram/Subway)",25,.398,46,Running/Jogging,882,882,877,882,396,800,24,"Same length",75,65,"Index finger",December,Fall,No,No,"No favorite",Water,Science,5,9,6,"Yes - broadband connection","Text messaging",85,113,5,1,15,5,6,2,35,10,56,1,0,2,Some,"Undergraduate degree","Rhythm and blues (R&B)","Freeze time",Rich,"Doctor or nurse","International aid"
