Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,TX,2018,"12        ",Male,17,Right-Handed,170,35,170,1,Car,50,7,20,Cycling,1000,1000,1000,1000,200,400,35,"Same length",28,33,"Ring finger",August,Fall,No,Yes,Fruit,Coffee,Science,6,6,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",30,30,15,8,3,6,0,6,12,6,16,6,0,6,"Very little",Other,Other,Invisibility,Happy,Other,Environment
USA,TX,2018,"12        ",Female,17,Left-Handed,164,23,162,1,Car,15,.395,37,Skateboarding/Rollerblading,1000,700,600,600,300,300,23,"Same length",78,74,"Index finger",June,Winter,Yes,Yes,Fruit,"Soft drink (caffeinated)",Music,6,13,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",50,70,15,7,5,30,0,0,40,40,30,25,7,25,Some,"Graduate degree","Heavy metal",Invisibility,Famous,"Musician or singer","Arts, culture, sports"
USA,TX,2013,"5         ",,11,Right-Handed,139,21,135,1,Walk,20,419,58,None,1000,1000,1000,1000,0,0,21,"Same length",60,90,"Ring finger",February,Summer,No,No,Desserts,Tea,Art,8,9,5,"Yes - broadband connection","In person",0,0,2,10,1,2,0,5,0,0,5,1,0,0,Some,"Graduate degree",Pop,Fly,Healthy,Relative,"Wildlife, animals"
USA,TX,2015,"12        ",,,,,,,,,,,,,775,775,,,,,25,"Right foot",69,79,"Ring finger",January,Fall,Yes,No,Poultry,Water,Art,9,9,4,"Yes - broadband connection","Text messaging",100,100,6,0,10,2,1,0,1,5,4,0,5,2,"A lot","Graduate degree","Rock and roll",Fly,Happy,"Community leader or elder",Environment
USA,TX,2016,"12        ",Female,17,Left-Handed,,,,,Car,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,"A lot","Graduate degree",Pop,Fly,Happy,,"International aid"
USA,TX,2016,"12        ",Female,17,Right-Handed,160,23,150,1,Car,5,0,0,Other,4,1,3,2,0,5,23,"Same length",70,70,"Same length",September,Summer,Yes,No,Seafood,Water,History,7,10,5,"Yes - broadband connection","Internet chat or instant messaging",175,250,10,3,15,4,7,0,4,8,10,3,20,2,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Happy,Relative,Religious
USA,TX,2019,"10        ",Female,14,Right-Handed,5’3,28,153,2,Car,"10 ",1.32,39,Basketball,1000,1000,1000,1000,1000,99,28,"Same length",57,57,"Ring finger",September,Winter,No,No,Salads,Water,"Mathematics and statistics",9,9,7,"Yes - other","Text messaging",15,30,"3 ","3 ","1 1/2",5,2,2,3,4,24,5,0,"1 1/2","A lot",Other,"Rap/Hip hop",Telepathy,Happy,"Doctor or nurse",Health
USA,TX,2015,"12        ",Male,16,Right-Handed,176,30,176,2,Bus,15,.495,45,Running/Jogging,685,834,879,958,693,934,30,"Same length",,8,"Index finger",June,Spring,No,No,Pizza/Pasta,Water,"Mathematics and statistics",5,12,5,"Yes - broadband connection",Other,50,75,3,1,5,2,2,8,6,3,5,0,30,15,Some,"Graduate degree",Techno/Electronic,"Freeze time",Healthy,Relative,"Education/Youth development"
USA,TX,2013,"5         ",Male,11,Right-Handed,145,149,147,2,Bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,TX,2016,"12        ",Male,17,Right-Handed,195.6,33.02,190.2,2,Car,35,,11,Cycling,900,750,550,600,300,350,33.04,"Left foot",95,97,"Ring finger",July,Winter,Yes,No,Desserts,"Soft drink (caffeinated)",Science,7,9,4,"Yes - broadband connection","Text messaging",5,10,5,.5,4,2,4,7,.25,.5,2,2,0,5,"A lot","Graduate degree",Other,Telepathy,Happy,Relative,"Wildlife, animals"
